wifi_spot_id,review_id,user_id,review_comment,review_create_date_time,review_overall_classification
dfa026de-4b33-4a76-95f6-fb09d289c342,2242c8bd-2864-4f50-b261-c9755f28afc3,519f7e20-093f-4cd3-8f7d-864650019f02,Consequatur expedita minima provident.,2025-01-08 17:36:56,5
1bc0bfdf-018a-4461-87b0-2963615ea80a,dde2f14c-0fb5-43ac-a33c-9ae0c9e03be0,519f7e20-093f-4cd3-8f7d-864650019f02,Officia similique incidunt aliquam.,2022-02-15 15:39:50,3
309c4f62-3c84-425c-b4e7-9f1f0c096336,cdb1ba98-3b19-42ab-b3ca-bf68aabd2637,519f7e20-093f-4cd3-8f7d-864650019f02,Quis quod reprehenderit impedit qui molestias.,2024-05-22 16:32:56,5
5b71f721-1acd-4624-b16d-a1b13a5787f5,2aed4f6b-f33d-4249-a342-38911ab8ed66,519f7e20-093f-4cd3-8f7d-864650019f02,Accusantium rem alias eos velit asperiores ut.,2025-01-17 04:55:52,5
647277ca-b001-4530-9c5b-6698aa25ddd5,0b194a37-6be6-4e44-8e09-9a2f843605ca,519f7e20-093f-4cd3-8f7d-864650019f02,Inventore expedita quidem blanditiis ipsa.,2021-05-29 00:52:09,3
127109b0-ded2-4560-b787-aa006296a545,93b13d1c-181f-495e-854f-5204fec2fcc2,519f7e20-093f-4cd3-8f7d-864650019f02,Culpa repellat voluptatum impedit officiis.,2022-07-26 01:10:06,4
e89bb3a1-c81f-4d2e-ac5d-2b0f0cc363c0,c8e4eb7a-d9bd-4b0b-bfdc-8a25befb682f,519f7e20-093f-4cd3-8f7d-864650019f02,Cum nobis consequatur.,2024-11-06 09:01:16,2
90034602-8483-4b03-8784-a0d773138415,ee6cd9ee-fc6b-4e56-8598-1da1fbf69f33,519f7e20-093f-4cd3-8f7d-864650019f02,Omnis error quos nesciunt quam aut.,2022-02-08 15:55:23,1
b685ca14-63af-4d2c-85cb-0f80c3dd8282,fac2da56-2367-443a-af7b-ec3af414cb82,519f7e20-093f-4cd3-8f7d-864650019f02,Laborum maiores eveniet sint ullam omnis quod.,2020-11-23 14:30:48,4
d383e084-c9bd-4d33-aa6b-156167a0281b,6f5b4dbb-0389-4369-b23a-afe6fc07d4b3,519f7e20-093f-4cd3-8f7d-864650019f02,At in ullam labore voluptate accusamus ratione.,2021-11-22 09:17:29,4
90fc1aa1-a7cc-4d10-97f7-788b329f7b3e,f0f6721e-8d26-47f8-b181-2965f915b855,519f7e20-093f-4cd3-8f7d-864650019f02,Laboriosam mollitia excepturi.,2021-02-03 12:29:46,1
be021c49-9236-4094-8ab8-9b9a1690e0ab,6d698fd2-c4dd-424b-a400-d6eec60a4cc9,519f7e20-093f-4cd3-8f7d-864650019f02,Laudantium quis ut sunt non enim.,2020-08-11 12:57:58,1
e45635f6-39de-4923-b2ee-beb9e2f8408d,e638bf37-b840-40a9-915a-45eda52360a2,519f7e20-093f-4cd3-8f7d-864650019f02,Recusandae est similique ad sunt.,2022-03-29 21:53:36,1
4bfe489f-20c8-416b-9bea-e01f6db0d7b8,113e754f-53f5-44c0-ac0e-9776a8b64ef2,519f7e20-093f-4cd3-8f7d-864650019f02,Ullam a laborum nihil ipsam iste consequatur.,2021-02-19 11:56:14,1
3849a96b-cf15-41f0-a050-a2c319a7bcf0,b963d9b2-8a3a-4498-9dbb-d67142de5685,519f7e20-093f-4cd3-8f7d-864650019f02,Officiis cupiditate officiis aperiam.,2021-06-02 01:05:56,4
