review_id,review_comment,review_create_date_time,review_overall_classification,review_user_id,review_wifi_spot_id
5cf948f8-f078-4eee-b61b-86b7aefefab4,"Deleniti velit earum laborum. Eum ipsum neque. Saepe nihil eius illum.",2021-08-25 10:33:08,5,de95d966-9864-44f2-96f9-9ce6183b2786,393f0499-ea8f-42ab-8fa6-e16637586f95
f9d570c5-1102-4481-8587-18b10bf6aaeb,"Reprehenderit delectus ipsa blanditiis id quas. Odio atque quam sunt totam neque.",2022-07-19 12:40:25,5,de95d966-9864-44f2-96f9-9ce6183b2786,dbd6f776-22a8-4cc3-8a5c-ada327fa0230
321eba34-f6ef-4aad-9a00-16892bc9b5e8,"Modi neque repudiandae quas iste. Libero est eligendi earum.",2024-10-19 19:33:52,3,de95d966-9864-44f2-96f9-9ce6183b2786,b7860f16-40c5-4218-904f-3226489e7a7d
60e73c01-965b-413a-a0b5-e0c45911813e,"Id perspiciatis culpa temporibus commodi. Repellendus aliquid aliquam cupiditate repellendus nihil.",2021-12-03 05:42:01,1,de95d966-9864-44f2-96f9-9ce6183b2786,baa45946-18db-4acf-897c-8d402d35aed1
7e0cf4f7-99c7-4bde-87bc-e18965ec8bcb,"Accusamus neque rem quas consequuntur suscipit. Nemo minima iusto cumque.",2023-04-21 13:44:10,2,de95d966-9864-44f2-96f9-9ce6183b2786,cfea3614-52ad-4099-b292-bd920eec2686
730dfdc4-fada-4966-8afa-513186611592,"Veniam expedita vel aperiam dolore possimus. Doloremque aliquam ullam quo tempore.",2022-08-28 06:42:30,3,de95d966-9864-44f2-96f9-9ce6183b2786,8cc9eaf8-c919-4d4f-a525-a481b58c870a
71217f60-fd39-4699-8626-cc9cfa2ec67f,"Molestias quae perferendis atque autem ea atque. Dignissimos dicta atque tenetur.",2020-07-05 05:08:13,2,de95d966-9864-44f2-96f9-9ce6183b2786,95f0e021-486b-45c7-aabd-93feeaf78871
b1c5cd30-8e73-4476-a3e0-4dc8173b6906,"Porro odio recusandae illum. Soluta cumque veniam quisquam nobis earum accusamus.",2023-10-09 07:37:46,1,de95d966-9864-44f2-96f9-9ce6183b2786,18b1a6d7-042a-4117-88c8-a5629215ec6f
339f333b-84af-43dd-aaec-ba8e8e543568,"Illum at expedita debitis dolor assumenda. Est aspernatur fugit.",2021-06-02 21:38:06,5,de95d966-9864-44f2-96f9-9ce6183b2786,0e2e393f-9abf-4618-95d9-43a2395d1092
db72115b-9dcc-4a20-8611-18494933911e,"Odit culpa totam sit et. Architecto voluptates cupiditate adipisci.",2020-04-04 17:04:21,4,de95d966-9864-44f2-96f9-9ce6183b2786,66adae70-1e9f-46f6-b9bc-69fda28901b2
36b31b55-a792-42d0-928a-a674f318c791,"Velit ab a perferendis voluptatum nostrum voluptates.",2020-05-22 23:51:35,1,de95d966-9864-44f2-96f9-9ce6183b2786,55e687ee-202e-4922-bfe7-5a8cf67d73e8
2067d091-99f9-4c4f-8eac-ddef86d51e02,"Rem eaque omnis alias earum labore molestiae. Distinctio dignissimos vero rem saepe reprehenderit.",2022-08-05 05:52:49,3,de95d966-9864-44f2-96f9-9ce6183b2786,c0ef68fe-508d-4a0b-bfe7-1d46aeb6aac6
82753153-0637-4c75-b4ca-fbb9034b055a,"Tenetur reiciendis ipsum nulla. Eveniet nisi qui modi ut nihil sapiente doloremque.",2021-11-05 00:42:15,3,de95d966-9864-44f2-96f9-9ce6183b2786,e2d20893-8203-4bc4-89b7-ae7ff8fdf6c7
