review_id,review_comment,review_create_date_time,review_overall_classification,review_user_id,review_wifi_spot_id
94b9ee1e-3384-4a88-b1e0-440401741986,"A nesciunt nemo. Sit harum eligendi. Quos autem blanditiis. Labore voluptate hic fuga.",2022-07-26 10:38:34,1,d0d325a1-c660-4a20-b5cd-cbef325dd834,6703f4e7-203f-40fb-9ea5-7fc180c6c999
e5c7f4de-97ab-4870-9501-b50d227e6f02,"Corporis minus necessitatibus cupiditate. Eligendi necessitatibus natus culpa rem quae.",2021-12-04 09:31:04,2,d0d325a1-c660-4a20-b5cd-cbef325dd834,6807522a-76fb-4bfe-b5e3-75381a6832fd
08e6986f-430c-4e23-a899-e30a934c106d,"Consequuntur molestias amet consequatur. Sint voluptate atque maxime voluptate non.",2021-04-16 19:00:25,4,d0d325a1-c660-4a20-b5cd-cbef325dd834,8dae3069-d724-4918-97ca-0c245dd28937
b62d9a43-117b-4115-9727-69a717be2764,"Corporis vero optio eos architecto id recusandae. Nostrum sunt est aperiam laborum.",2022-11-11 01:26:59,3,d0d325a1-c660-4a20-b5cd-cbef325dd834,70f6e315-d31a-4cb2-bbfe-f2272eef5ee1
2dc8dd10-4f00-4ebb-8d35-274a678af32d,"Aliquam totam quis libero. Modi fugiat harum dignissimos culpa assumenda quo.",2022-09-08 09:02:11,5,d0d325a1-c660-4a20-b5cd-cbef325dd834,50947f16-7f78-43ec-b617-ddef2dca41c4
b4d81d62-bd72-4899-9c6f-7703e256df9e,"Velit a soluta ullam velit tempore earum. Quia cumque aliquam alias recusandae.",2020-01-31 13:19:30,5,d0d325a1-c660-4a20-b5cd-cbef325dd834,15d24537-b356-41f5-8203-d745effe54af
5e68f151-ff50-4325-ac9d-4780818ee739,"Aspernatur quasi perspiciatis culpa nam. Architecto rerum mollitia.",2020-10-25 21:21:45,5,d0d325a1-c660-4a20-b5cd-cbef325dd834,7f2ac558-521e-485b-af9d-1ef5ea5bb5d5
29ace69a-fa38-4790-96dd-e914ab899c41,"Nulla exercitationem est animi earum ex ad voluptatum.",2022-10-05 21:26:19,1,d0d325a1-c660-4a20-b5cd-cbef325dd834,40ee6d73-42c2-494a-9916-3f28ff958f2b
3f021966-68a6-4aa6-a1a7-bbe0a1ec4ef0,"Mollitia officiis consectetur id. Fugiat tenetur nobis amet.",2020-05-14 17:53:17,3,d0d325a1-c660-4a20-b5cd-cbef325dd834,a12ed164-5af2-4c5a-9ec9-5adfeb336baf
ecc26a88-83b7-4597-a37b-ea3ee2b7c454,"Voluptates numquam error quis qui expedita. Deleniti ratione corrupti accusantium recusandae.",2021-01-25 18:37:28,5,d0d325a1-c660-4a20-b5cd-cbef325dd834,7d1cc506-62c1-418a-b9a8-b7a1d4e2ee84
b3efa5b9-3896-470f-91ad-4a9c0970900a,"Mollitia accusantium pariatur illum repellendus. Alias recusandae maiores id.",2022-06-27 05:38:46,4,d0d325a1-c660-4a20-b5cd-cbef325dd834,35b06631-77bf-4fb0-bfc6-517e7d87c645
