wifi_spot_visit_id,wifi_spot_visit_user_id,wifi_spot_visit_wifi_spot_id,wifi_spot_visit_start_datetime,wifi_spot_visit_end_datetime
b18edd57-f609-4465-a0ba-e9bee31c621a,d0d325a1-c660-4a20-b5cd-cbef325dd834,6807522a-76fb-4bfe-b5e3-75381a6832fd,2022-08-22 22:39:52,2022-08-23 00:39:52
432a6744-df72-4b4f-b67d-76b8f692e911,d0d325a1-c660-4a20-b5cd-cbef325dd834,8dae3069-d724-4918-97ca-0c245dd28937,2021-03-18 10:24:14,2021-03-18 12:24:14
95c736eb-1217-44e7-a83a-e298ab939a97,d0d325a1-c660-4a20-b5cd-cbef325dd834,8dae3069-d724-4918-97ca-0c245dd28937,2022-01-01 02:12:04,2022-01-01 06:12:04
e6e7b755-2b89-49e2-8afc-d9a226008372,d0d325a1-c660-4a20-b5cd-cbef325dd834,8dae3069-d724-4918-97ca-0c245dd28937,2020-02-07 07:21:50,2020-02-07 09:21:50
5c42e7cb-6bbb-4447-9e14-badb2ead4891,d0d325a1-c660-4a20-b5cd-cbef325dd834,8dae3069-d724-4918-97ca-0c245dd28937,2022-09-17 13:22:59,2022-09-17 17:22:59
638a2c0b-867c-469a-a03b-cf8351962050,d0d325a1-c660-4a20-b5cd-cbef325dd834,8dae3069-d724-4918-97ca-0c245dd28937,2022-06-27 12:58:39,2022-06-27 14:58:39
a396172f-50f6-45c9-902b-86358988e3dc,d0d325a1-c660-4a20-b5cd-cbef325dd834,8dae3069-d724-4918-97ca-0c245dd28937,2024-03-30 05:07:22,2024-03-30 08:07:22
cef2dfa7-b1fe-42b7-8508-37e6fd964c23,d0d325a1-c660-4a20-b5cd-cbef325dd834,8dae3069-d724-4918-97ca-0c245dd28937,2025-01-03 02:39:54,2025-01-03 07:39:54
c0c21e2c-0c87-4094-8b25-394cd66ec06f,d0d325a1-c660-4a20-b5cd-cbef325dd834,70f6e315-d31a-4cb2-bbfe-f2272eef5ee1,2021-12-01 09:37:59,2021-12-01 10:37:59
d4094375-0aac-46aa-b498-6ee976476ccc,d0d325a1-c660-4a20-b5cd-cbef325dd834,70f6e315-d31a-4cb2-bbfe-f2272eef5ee1,2022-05-20 15:28:45,2022-05-20 17:28:45
609b9a4a-8c7d-480e-ab17-0ff1268dd43c,d0d325a1-c660-4a20-b5cd-cbef325dd834,70f6e315-d31a-4cb2-bbfe-f2272eef5ee1,2021-12-23 16:26:07,2021-12-23 17:26:07
254ff0c7-a27f-4a67-8bfb-e6ac17e1fa03,d0d325a1-c660-4a20-b5cd-cbef325dd834,70f6e315-d31a-4cb2-bbfe-f2272eef5ee1,2023-02-27 14:42:07,2023-02-27 19:42:07
f9cf4e3a-f01c-40d3-8c90-8a4acf951001,d0d325a1-c660-4a20-b5cd-cbef325dd834,70f6e315-d31a-4cb2-bbfe-f2272eef5ee1,2021-11-20 09:20:10,2021-11-20 12:20:10
906d09e4-7702-41e4-96bf-e01478cbbb67,d0d325a1-c660-4a20-b5cd-cbef325dd834,70f6e315-d31a-4cb2-bbfe-f2272eef5ee1,2020-09-05 20:08:41,2020-09-05 22:08:41
d36aca5b-9f69-4d9a-8ff4-a57b05ec5aa7,d0d325a1-c660-4a20-b5cd-cbef325dd834,70f6e315-d31a-4cb2-bbfe-f2272eef5ee1,2022-05-13 05:01:32,2022-05-13 08:01:32
809098ae-e92c-4849-8cce-39f5f07ecebf,d0d325a1-c660-4a20-b5cd-cbef325dd834,70f6e315-d31a-4cb2-bbfe-f2272eef5ee1,2025-01-10 17:41:58,2025-01-10 19:41:58
7e56e96a-efc6-4622-ab5e-3679acfa1cb6,d0d325a1-c660-4a20-b5cd-cbef325dd834,70f6e315-d31a-4cb2-bbfe-f2272eef5ee1,2020-05-14 17:42:09,2020-05-14 19:42:09
549286f2-5dab-4253-8e7e-a0feebde67a8,d0d325a1-c660-4a20-b5cd-cbef325dd834,50947f16-7f78-43ec-b617-ddef2dca41c4,2022-05-07 19:41:44,2022-05-07 23:41:44
78830dc0-1a5d-4fbb-b936-adb3f55995af,d0d325a1-c660-4a20-b5cd-cbef325dd834,50947f16-7f78-43ec-b617-ddef2dca41c4,2021-02-16 22:33:29,2021-02-16 23:33:29
77dd937d-8382-491f-956b-91586c28e6f5,d0d325a1-c660-4a20-b5cd-cbef325dd834,50947f16-7f78-43ec-b617-ddef2dca41c4,2020-04-01 03:46:37,2020-04-01 06:46:37
e0411751-520a-4cde-9e32-c9e91891e1b9,d0d325a1-c660-4a20-b5cd-cbef325dd834,50947f16-7f78-43ec-b617-ddef2dca41c4,2023-10-28 18:32:18,2023-10-28 20:32:18
424f0efd-9901-451f-9a22-de1c1f5ed549,d0d325a1-c660-4a20-b5cd-cbef325dd834,50947f16-7f78-43ec-b617-ddef2dca41c4,2023-01-02 08:41:22,2023-01-02 12:41:22
b0564ff3-1998-4283-a4a2-fe1cc5611eef,d0d325a1-c660-4a20-b5cd-cbef325dd834,50947f16-7f78-43ec-b617-ddef2dca41c4,2020-03-22 13:01:25,2020-03-22 17:01:25
901f809f-e414-484b-82ea-39fa21b65a1c,d0d325a1-c660-4a20-b5cd-cbef325dd834,15d24537-b356-41f5-8203-d745effe54af,2021-10-04 19:15:32,2021-10-04 21:15:32
984e4f66-420a-4fb1-bb5d-ed4be6844af8,d0d325a1-c660-4a20-b5cd-cbef325dd834,15d24537-b356-41f5-8203-d745effe54af,2022-08-01 00:18:37,2022-08-01 02:18:37
86f375ec-3e14-4bf9-b9a7-a1d53207849b,d0d325a1-c660-4a20-b5cd-cbef325dd834,15d24537-b356-41f5-8203-d745effe54af,2023-03-20 18:23:09,2023-03-20 21:23:09
6d473739-83cf-4245-8037-817e350df0b5,d0d325a1-c660-4a20-b5cd-cbef325dd834,15d24537-b356-41f5-8203-d745effe54af,2020-04-17 06:35:25,2020-04-17 10:35:25
55529f5f-1baa-468c-8b0d-7fbd97d41a1f,d0d325a1-c660-4a20-b5cd-cbef325dd834,15d24537-b356-41f5-8203-d745effe54af,2020-02-13 09:33:47,2020-02-13 13:33:47
d89776ad-7950-4347-bc1c-fa71050da7bf,d0d325a1-c660-4a20-b5cd-cbef325dd834,15d24537-b356-41f5-8203-d745effe54af,2022-05-19 03:47:17,2022-05-19 07:47:17
0625681d-ef7f-429e-97bf-9b857b93412a,d0d325a1-c660-4a20-b5cd-cbef325dd834,15d24537-b356-41f5-8203-d745effe54af,2022-09-16 13:47:03,2022-09-16 15:47:03
a9e7237a-ec2d-4c04-935d-f5f1d875a87d,d0d325a1-c660-4a20-b5cd-cbef325dd834,7f2ac558-521e-485b-af9d-1ef5ea5bb5d5,2021-04-23 13:31:14,2021-04-23 17:31:14
56c1c443-da76-445a-b8c3-ddedd1bc7a39,d0d325a1-c660-4a20-b5cd-cbef325dd834,7f2ac558-521e-485b-af9d-1ef5ea5bb5d5,2020-02-22 11:46:18,2020-02-22 15:46:18
624aee35-89fb-462e-9f7e-c53775225631,d0d325a1-c660-4a20-b5cd-cbef325dd834,7f2ac558-521e-485b-af9d-1ef5ea5bb5d5,2025-01-21 05:56:21,2025-01-21 10:56:21
590da485-718e-48e0-a1e0-867542e6e56f,d0d325a1-c660-4a20-b5cd-cbef325dd834,7f2ac558-521e-485b-af9d-1ef5ea5bb5d5,2021-05-07 03:42:35,2021-05-07 05:42:35
60e62e8b-7626-417d-95ea-dfde65752a2b,d0d325a1-c660-4a20-b5cd-cbef325dd834,7f2ac558-521e-485b-af9d-1ef5ea5bb5d5,2023-10-24 06:46:04,2023-10-24 09:46:04
80ad6766-7043-4781-b0b0-c3ceba3ecb2b,d0d325a1-c660-4a20-b5cd-cbef325dd834,7f2ac558-521e-485b-af9d-1ef5ea5bb5d5,2022-03-30 18:46:16,2022-03-30 21:46:16
a042ddb4-8633-49f4-9cf8-84160ed06fc4,d0d325a1-c660-4a20-b5cd-cbef325dd834,7f2ac558-521e-485b-af9d-1ef5ea5bb5d5,2022-05-18 17:02:39,2022-05-18 18:02:39
c100cd12-0730-4d08-ae31-1a76669b21dc,d0d325a1-c660-4a20-b5cd-cbef325dd834,40ee6d73-42c2-494a-9916-3f28ff958f2b,2023-05-18 23:27:43,2023-05-19 01:27:43
4c20ec72-42a2-49fd-bee3-0eb18a771e90,d0d325a1-c660-4a20-b5cd-cbef325dd834,40ee6d73-42c2-494a-9916-3f28ff958f2b,2020-11-24 16:13:32,2020-11-24 21:13:32
